epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.5481,1.45624,1.91074,1.57595,0.80861,0.81429,0.91806,0.60232,1.33146,1.49303,1.13282,0.00026672,0.00026672,0.00026672
2,126.13,1.34457,1.77799,1.47712,0.8464,0.8615,0.90127,0.63835,1.15215,1.56572,1.06382,0.000544664,0.000544664,0.000544664
3,193.415,1.33523,1.70044,1.45064,0.73433,0.82353,0.85764,0.55435,1.27313,1.58244,1.20315,0.000816997,0.000816997,0.000816997
4,258.123,1.39873,1.75836,1.49217,0.73753,0.69118,0.7055,0.48859,1.24666,1.70999,1.17977,0.00108372,0.00108372,0.00108372
5,322.581,1.45313,1.75109,1.51973,0.52531,0.39218,0.36293,0.21462,1.42198,2.53904,1.30998,0.00134483,0.00134483,0.00134483
6,386.529,1.46644,1.83898,1.51817,0.74007,0.72756,0.81205,0.50872,1.45902,1.60973,1.26721,0.00158448,0.00158448,0.00158448
7,450.793,1.48309,1.91195,1.5313,0.69954,0.729,0.8006,0.50268,1.34996,1.43178,1.19195,0.00156798,0.00156798,0.00156798
8,516.321,1.4717,1.83275,1.51042,0.6999,0.65706,0.72536,0.46272,1.38352,1.69911,1.29085,0.00155148,0.00155148,0.00155148
9,577.236,1.47488,1.81701,1.48629,0.63672,0.57931,0.57616,0.32382,1.34544,2.13783,1.2223,0.00153497,0.00153497,0.00153497
10,637.741,1.48898,1.85066,1.5417,0.60165,0.67195,0.59986,0.34498,1.64336,2.0072,1.36429,0.00151847,0.00151847,0.00151847
11,703.646,1.49419,1.83032,1.58201,0.42384,0.49641,0.46749,0.29161,1.46895,2.9429,1.3954,0.00150197,0.00150197,0.00150197
12,768.717,1.47896,1.85216,1.55427,0.78671,0.69174,0.71224,0.4595,1.30421,1.39643,1.17299,0.00148546,0.00148546,0.00148546
13,833.553,1.46811,1.85993,1.52754,0.65732,0.60294,0.61323,0.35714,1.47856,1.76547,1.39041,0.00146896,0.00146896,0.00146896
14,898.291,1.41781,1.78576,1.48435,0.82698,0.64706,0.73653,0.53088,1.18626,1.49794,1.12221,0.00145246,0.00145246,0.00145246
15,963.925,1.43619,1.70566,1.47781,0.75044,0.66176,0.75378,0.48771,1.20516,1.4603,1.12515,0.00143595,0.00143595,0.00143595
16,1030.56,1.43111,1.73149,1.46216,0.80774,0.59822,0.69373,0.33301,1.63914,2.06516,1.49302,0.00141945,0.00141945,0.00141945
17,1096.59,1.40276,1.78181,1.49242,0.73768,0.70406,0.74806,0.44157,1.84485,1.83059,1.52467,0.00140295,0.00140295,0.00140295
18,1163.05,1.32883,1.60535,1.45448,0.76777,0.70276,0.78152,0.53231,1.38121,1.45137,1.21872,0.00138644,0.00138644,0.00138644
19,1229.35,1.37876,1.64391,1.46631,0.65465,0.64495,0.6457,0.43151,1.19591,2.0652,1.10167,0.00136994,0.00136994,0.00136994
20,1295.75,1.39286,1.69516,1.46835,0.73543,0.71734,0.73229,0.45707,1.24108,1.76686,1.1121,0.00135344,0.00135344,0.00135344
21,1362.58,1.40533,1.66536,1.50596,0.73795,0.75518,0.76025,0.52787,1.23577,1.3965,1.08876,0.00133693,0.00133693,0.00133693
22,1428.66,1.3645,1.60348,1.48027,0.75512,0.85294,0.87317,0.67831,1.09898,1.14125,1.02586,0.00132043,0.00132043,0.00132043
23,1495,1.32868,1.52754,1.41252,0.80267,0.74541,0.85422,0.53143,1.13665,1.27271,1.05952,0.00130393,0.00130393,0.00130393
